Date,EPU Index,Previous EPU Index,EPU_Change
2019-02-27,200.09,119.4,80.69
2019-02-28,177.2,176.23,0.9699999999999989
2019-03-01,174.41,200.09,-25.680000000000007
2019-03-04,79.87,177.2,-97.32999999999998
2019-03-05,263.21,174.41,88.79999999999998
2019-03-06,121.63,79.87,41.75999999999999
2019-03-07,175.94,263.21,-87.26999999999998
2019-03-08,148.08,121.63,26.450000000000017
2019-03-11,241.99,175.94,66.05000000000001
2019-03-12,119.85,148.08,-28.230000000000018
2019-03-13,159.04,241.99,-82.95000000000002
2019-03-14,95.05,119.85,-24.799999999999997
2019-03-15,156.06,159.04,-2.9799999999999898
2019-03-18,95.39,95.05,0.3400000000000034
2019-03-19,159.0,156.06,2.9399999999999977
2019-03-20,135.17,95.39,39.77999999999999
2019-03-21,144.13,159.0,-14.870000000000005
2019-03-22,121.62,135.17,-13.549999999999983
2019-03-25,83.11,144.13,-61.019999999999996
2019-03-26,84.52,121.62,-37.10000000000001
2019-03-27,135.32,83.11,52.209999999999994
2019-03-28,58.61,84.52,-25.909999999999997
2019-03-29,136.85,135.32,1.5300000000000011
2019-04-01,184.37,58.61,125.76
2019-04-02,140.74,136.85,3.890000000000015
2019-04-03,157.32,184.37,-27.05000000000001
2019-04-04,95.5,140.74,-45.24000000000001
2019-04-05,64.47,157.32,-92.85
2019-04-08,95.01,95.5,-0.4899999999999949
2019-04-09,90.27,64.47,25.799999999999997
2019-04-10,122.34,95.01,27.33
2019-04-11,86.65,90.27,-3.6199999999999903
2019-04-12,86.6,122.34,-35.74000000000001
2019-04-15,98.02,86.65,11.36999999999999
2019-04-16,87.13,86.6,0.5300000000000011
2019-04-17,104.84,98.02,6.820000000000007
2019-04-18,109.16,87.13,22.03
2019-04-23,79.32,104.84,-25.52000000000001
2019-04-24,85.69,109.16,-23.47
2019-04-25,109.87,79.32,30.55000000000001
2019-04-26,144.69,85.69,59.0
2019-04-29,130.02,109.87,20.150000000000006
2019-04-30,124.89,144.69,-19.799999999999997
2019-05-01,155.0,130.02,24.97999999999999
2019-05-02,45.29,124.89,-79.6
2019-05-03,118.88,155.0,-36.120000000000005
2019-05-07,172.56,45.29,127.27000000000001
2019-05-08,197.02,118.88,78.14000000000001
2019-05-09,131.52,172.56,-41.03999999999999
2019-05-10,145.93,197.02,-51.09
2019-05-13,150.3,131.52,18.78
2019-05-14,202.21,145.93,56.28
2019-05-15,183.54,150.3,33.23999999999998
2019-05-16,178.72,202.21,-23.49000000000001
2019-05-17,132.61,183.54,-50.92999999999998
2019-05-20,176.14,178.72,-2.5800000000000125
2019-05-21,116.83,132.61,-15.780000000000015
2019-05-22,154.53,176.14,-21.609999999999985
2019-05-23,91.32,116.83,-25.510000000000005
2019-05-24,176.48,154.53,21.94999999999999
2019-05-28,138.94,91.32,47.620000000000005
2019-05-29,109.48,176.48,-66.99999999999999
2019-05-30,55.91,138.94,-83.03
2019-05-31,118.86,109.48,9.379999999999995
2019-06-03,78.05,55.91,22.14
2019-06-04,102.9,118.86,-15.959999999999994
2019-06-05,289.39,78.05,211.33999999999997
2019-06-06,200.83,102.9,97.93
2019-06-07,256.11,289.39,-33.27999999999997
2019-06-10,315.14,200.83,114.30999999999997
2019-06-11,195.34,256.11,-60.77000000000001
2019-06-12,221.49,315.14,-93.64999999999998
2019-06-13,193.06,195.34,-2.280000000000001
2019-06-14,211.35,221.49,-10.140000000000015
2019-06-17,184.84,193.06,-8.219999999999999
