Date,StringencyIndex_Average,Previous Stringency,Stringency_Change
2020-05-09,79.63,79.63,0.0
2020-05-09,79.63,79.63,0.0
2020-05-09,79.63,79.63,0.0
2020-05-10,79.63,79.63,0.0
2020-05-10,79.63,79.63,0.0
2020-05-10,79.63,79.63,0.0
2020-05-10,79.63,79.63,0.0
2020-05-10,79.63,79.63,0.0
2020-05-11,77.78,79.63,-1.8499999999999943
2020-05-11,75.93,79.63,-3.6999999999999886
2020-05-11,79.63,79.63,0.0
2020-05-11,79.63,79.63,0.0
2020-05-11,79.63,79.63,0.0
2020-05-12,70.37,79.63,-9.259999999999991
2020-05-12,77.78,79.63,-1.8499999999999943
2020-05-12,75.93,77.78,-1.8499999999999943
2020-05-12,79.63,75.93,3.6999999999999886
2020-05-12,79.63,79.63,0.0
2020-05-13,71.3,79.63,-8.329999999999998
2020-05-13,75.93,79.63,-3.6999999999999886
2020-05-13,61.11,70.37,-9.260000000000005
2020-05-13,70.37,77.78,-7.409999999999997
2020-05-13,79.63,75.93,3.6999999999999886
2020-05-14,70.37,79.63,-9.259999999999991
2020-05-14,75.93,79.63,-3.6999999999999886
2020-05-14,71.3,71.3,0.0
2020-05-14,61.11,75.93,-14.820000000000007
2020-05-14,79.63,61.11,18.519999999999996
2020-05-15,75.93,70.37,5.560000000000002
2020-05-15,61.11,79.63,-18.519999999999996
2020-05-15,79.63,70.37,9.259999999999991
2020-05-15,70.37,75.93,-5.560000000000002
2020-05-15,71.3,71.3,0.0
2020-05-16,75.93,61.11,14.820000000000007
2020-05-16,61.11,79.63,-18.519999999999996
2020-05-16,71.3,75.93,-4.63000000000001
2020-05-16,70.37,61.11,9.260000000000005
2020-05-16,79.63,79.63,0.0
2020-05-17,71.3,70.37,0.9299999999999926
2020-05-17,79.63,71.3,8.329999999999998
2020-05-17,61.11,75.93,-14.820000000000007
2020-05-17,75.93,61.11,14.820000000000007
2020-05-17,70.37,71.3,-0.9299999999999926
2020-05-18,75.93,70.37,5.560000000000002
2020-05-18,66.67,79.63,-12.959999999999994
2020-05-18,61.11,71.3,-10.189999999999998
2020-05-18,71.3,79.63,-8.329999999999998
2020-05-18,79.63,61.11,18.519999999999996
2020-05-19,71.3,75.93,-4.63000000000001
2020-05-19,61.11,70.37,-9.260000000000005
2020-05-19,79.63,75.93,3.6999999999999886
2020-05-19,66.67,66.67,0.0
2020-05-19,75.93,61.11,14.820000000000007
2020-05-20,66.67,71.3,-4.6299999999999955
2020-05-20,75.93,79.63,-3.6999999999999886
2020-05-20,71.3,71.3,0.0
2020-05-20,79.63,61.11,18.519999999999996
2020-05-20,61.11,79.63,-18.519999999999996
2020-05-21,75.93,66.67,9.260000000000005
2020-05-21,66.67,75.93,-9.260000000000005
2020-05-21,61.11,66.67,-5.560000000000002
2020-05-21,79.63,75.93,3.6999999999999886
2020-05-21,71.3,71.3,0.0
2020-05-22,71.3,79.63,-8.329999999999998
2020-05-22,75.93,61.11,14.820000000000007
