"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2021","151.20","152.40","154.48","150.04","97.12M","-1.12%"
"08/01/2021","152.92","157.34","158.20","152.57","34.42M","-2.05%"
"07/01/2021","156.12","157.08","158.00","151.01","60.38M","0.70%"
"06/01/2021","155.04","146.00","156.06","145.42","87.74M","8.27%"
"05/01/2021","143.20","140.66","144.54","138.92","36.57M","-0.22%"
"04/01/2021","143.52","147.02","149.06","142.42","45.65M","-2.15%"
"31/12/2020","146.68","145.32","148.87","144.61","16.20M","-1.48%"
"30/12/2020","148.88","149.64","153.08","148.70","22.79M","-0.27%"
"29/12/2020","149.28","155.00","155.89","148.80","54.03M","-3.44%"
"24/12/2020","154.60","154.70","158.25","153.33","32.44M","1.83%"
"23/12/2020","151.82","145.56","152.23","144.92","70.17M","4.00%"
"22/12/2020","145.98","141.38","146.68","141.02","47.26M","3.34%"
"21/12/2020","141.26","140.00","141.86","135.46","62.13M","-2.58%"
"18/12/2020","145.00","144.82","145.78","142.74","60.30M","-0.37%"
"17/12/2020","145.54","144.98","147.92","143.50","35.23M","0.93%"
"16/12/2020","144.20","145.00","149.56","143.64","40.14M","-0.35%"
"15/12/2020","144.70","141.68","145.28","140.62","46.88M","1.64%"
"14/12/2020","142.36","138.54","145.06","138.48","59.53M","4.63%"
"11/12/2020","136.06","141.76","142.96","134.30","82.03M","-4.02%"
"10/12/2020","141.76","145.40","145.80","138.00","143.53M","-2.84%"
"09/12/2020","145.90","147.40","149.50","145.78","31.85M","-0.31%"
"08/12/2020","146.36","144.78","147.26","143.74","36.61M","0.07%"
"07/12/2020","146.26","149.00","149.22","143.04","200.67M","-1.59%"
"04/12/2020","148.62","147.70","150.20","147.04","92.55M","0.04%"
"03/12/2020","148.56","146.00","148.56","144.60","42.15M","1.10%"
"02/12/2020","146.94","142.78","146.94","141.64","46.29M","2.58%"
"01/12/2020","143.24","134.90","143.48","133.60","51.36M","6.45%"
"30/11/2020","134.56","140.04","140.04","134.56","67.09M","-3.54%"
"27/11/2020","139.50","139.00","140.72","137.72","81.76M","-1.13%"
"26/11/2020","141.10","143.24","143.62","137.86","34.40M","-1.60%"
"25/11/2020","143.40","152.50","152.50","141.72","72.17M","-4.53%"
"24/11/2020","150.20","142.00","150.26","141.32","76.80M","7.13%"
"23/11/2020","140.20","139.28","140.86","138.24","47.97M","1.77%"
"20/11/2020","137.76","138.18","139.60","137.40","29.42M","-0.85%"
"19/11/2020","138.94","136.10","139.90","136.10","36.95M","-1.88%"
"18/11/2020","141.60","137.56","142.18","135.82","51.95M","2.31%"
"17/11/2020","138.40","139.88","139.88","135.00","79.40M","-0.27%"
"16/11/2020","138.78","136.12","138.88","135.54","71.05M","3.44%"
"13/11/2020","134.16","131.22","135.70","129.68","45.47M","1.36%"
"12/11/2020","132.36","133.48","133.96","129.64","68.56M","-2.33%"
"11/11/2020","135.52","134.08","137.12","131.46","90.11M","0.83%"
"10/11/2020","134.40","129.14","136.00","127.62","143.34M","4.56%"
"09/11/2020","128.54","112.04","129.62","111.66","136.76M","15.86%"
"06/11/2020","110.94","111.06","113.40","110.00","40.59M","0.71%"
"05/11/2020","110.16","110.68","112.25","106.76","53.08M","-0.20%"
"04/11/2020","110.38","111.84","113.04","108.52","49.61M","-2.63%"
"03/11/2020","113.36","108.22","113.76","108.22","56.11M","5.90%"
"02/11/2020","107.04","107.02","107.14","104.62","44.34M","0.45%"
"30/10/2020","106.56","104.22","107.70","104.00","37.37M","1.82%"
"29/10/2020","104.66","104.44","106.80","102.08","44.08M","0.83%"
"28/10/2020","103.80","104.46","106.58","101.16","62.93M","-2.63%"
"27/10/2020","106.60","112.62","113.00","106.60","47.42M","-3.55%"
"26/10/2020","110.52","110.54","114.38","109.14","50.83M","-0.91%"
"23/10/2020","111.54","108.50","113.30","106.54","96.36M","6.96%"
"22/10/2020","104.28","101.38","104.92","100.66","31.09M","1.52%"
"21/10/2020","102.72","104.92","106.00","102.64","37.82M","-1.53%"
"20/10/2020","104.32","102.34","105.20","102.34","28.34M","0.93%"
"19/10/2020","103.36","102.50","104.08","101.12","19.58M","1.53%"
"16/10/2020","101.80","101.20","102.64","99.00","35.00M","1.68%"
"15/10/2020","100.12","100.50","100.77","97.98","36.53M","-1.40%"
"14/10/2020","101.54","101.84","103.68","100.82","32.36M","-0.55%"
"13/10/2020","102.10","106.44","106.44","101.72","45.35M","-3.53%"
"12/10/2020","105.84","107.28","108.00","105.42","29.24M","-1.34%"
"09/10/2020","107.28","107.94","109.00","106.54","36.31M","0.17%"
"08/10/2020","107.10","105.44","107.78","104.42","36.78M","2.49%"
"07/10/2020","104.50","103.84","107.46","103.42","54.33M","0.31%"
"06/10/2020","104.18","100.88","104.18","99.82","60.18M","4.76%"
"05/10/2020","99.45","99.70","100.68","98.08","34.57M","1.78%"
"02/10/2020","97.71","97.48","98.30","96.49","35.79M","-0.30%"
"01/10/2020","98.00","98.84","99.91","96.90","39.90M","0.40%"
"30/09/2020","97.61","96.58","99.54","95.85","41.93M","0.37%"
"29/09/2020","97.25","97.11","98.28","96.31","38.38M","-0.77%"
"28/09/2020","98.00","93.50","98.44","92.91","48.21M","7.05%"
"25/09/2020","91.55","94.24","94.63","91.13","32.92M","-1.42%"
"24/09/2020","92.87","90.77","95.05","90.74","42.84M","-0.03%"
"23/09/2020","92.90","93.19","96.20","92.25","40.30M","1.01%"
"22/09/2020","91.97","92.75","94.11","91.40","40.01M","-0.21%"
"21/09/2020","92.16","96.04","96.67","88.90","78.72M","-5.40%"
"18/09/2020","97.42","99.66","100.20","97.42","73.23M","-3.10%"
"17/09/2020","100.54","101.08","101.32","99.00","46.61M","-2.35%"
"16/09/2020","102.96","102.40","103.40","100.54","27.21M","0.31%"
"15/09/2020","102.64","103.22","103.58","102.22","28.48M","-0.95%"
"14/09/2020","103.62","103.40","103.90","102.20","17.31M","0.97%"
"11/09/2020","102.62","104.98","104.98","102.58","21.53M","-2.30%"
"10/09/2020","105.04","103.80","106.30","102.56","29.65M","0.15%"
"09/09/2020","104.88","103.02","104.88","102.36","43.37M","0.58%"
"08/09/2020","104.28","106.98","108.02","103.60","35.92M","-2.49%"
"07/09/2020","106.94","107.60","108.70","106.26","14.44M","0.06%"
"04/09/2020","106.88","105.04","108.58","104.94","30.69M","1.25%"
"03/09/2020","105.56","104.26","108.30","103.95","29.80M","1.99%"
"02/09/2020","103.50","106.04","107.42","103.18","42.63M","-2.27%"
"01/09/2020","105.90","110.42","111.16","105.86","49.80M","-5.41%"
"28/08/2020","111.96","111.28","112.79","110.60","36.77M","1.28%"
"27/08/2020","110.54","109.76","111.83","109.68","20.67M","0.13%"
"26/08/2020","110.40","109.38","110.74","108.26","16.83M","1.15%"
"25/08/2020","109.14","111.04","112.46","109.00","28.12M","-1.14%"
"24/08/2020","110.40","108.74","110.40","107.20","26.44M","2.22%"
"21/08/2020","108.00","107.40","108.40","106.14","34.12M","0.39%"
"20/08/2020","107.58","107.98","108.52","106.54","24.66M","-2.38%"
"19/08/2020","110.20","107.50","110.20","107.06","18.45M","1.92%"
"18/08/2020","108.12","107.30","110.68","106.52","24.90M","0.17%"
"17/08/2020","107.94","108.66","110.86","107.92","24.81M","-1.15%"
"14/08/2020","109.20","108.32","109.44","105.54","30.95M","1.04%"
"13/08/2020","108.08","110.50","111.68","108.08","21.47M","-3.07%"
"12/08/2020","111.50","112.30","112.94","111.16","29.47M","-0.23%"
"11/08/2020","111.76","107.02","112.24","106.88","38.49M","4.80%"
"10/08/2020","106.64","106.26","107.48","105.34","25.63M","1.95%"
"07/08/2020","104.60","105.16","105.58","103.01","32.08M","-1.17%"
"06/08/2020","105.84","106.42","106.94","104.36","26.81M","-1.40%"
"05/08/2020","107.34","106.00","107.60","105.32","39.16M","1.94%"
"04/08/2020","105.30","104.52","106.06","103.64","49.19M","1.43%"
"03/08/2020","103.82","100.72","104.08","99.60","39.67M","3.24%"
"31/07/2020","100.56","101.68","103.86","100.24","61.23M","-0.22%"
"30/07/2020","100.78","105.00","105.36","98.72","58.92M","-4.04%"
"29/07/2020","105.02","112.88","113.47","104.00","84.10M","-6.11%"
"28/07/2020","111.86","111.00","112.66","110.38","36.20M","0.77%"
"27/07/2020","111.00","113.82","152.82","110.88","30.70M","-2.29%"
"24/07/2020","113.60","115.10","116.04","113.60","33.50M","-2.46%"
"23/07/2020","116.46","118.00","118.16","116.42","28.33M","-0.82%"
"22/07/2020","117.42","116.74","118.28","114.98","35.15M","0.67%"
"21/07/2020","116.64","117.34","120.70","115.52","35.93M","0.36%"
"20/07/2020","116.22","115.48","117.32","114.74","25.51M","-0.15%"
"17/07/2020","116.40","117.76","118.76","115.22","44.64M","-1.84%"
"16/07/2020","118.58","119.82","121.30","118.08","34.59M","-1.43%"
"15/07/2020","120.30","119.50","121.40","118.02","40.47M","0.79%"
"14/07/2020","119.36","118.28","120.20","116.46","41.84M","-0.17%"
"13/07/2020","119.56","121.22","121.64","116.70","49.72M","1.53%"
"10/07/2020","117.76","111.62","118.06","111.00","33.79M","5.18%"
"09/07/2020","111.96","115.70","116.00","111.66","30.85M","-2.13%"
"08/07/2020","114.40","114.00","115.70","113.90","22.50M","-0.49%"
"07/07/2020","114.96","116.10","117.29","114.66","28.31M","-1.99%"
"06/07/2020","117.30","117.00","120.71","115.94","33.32M","1.37%"
"03/07/2020","115.72","117.90","118.38","114.24","22.87M","-1.85%"
"02/07/2020","117.90","115.06","119.54","113.90","51.37M","3.84%"
"01/07/2020","113.54","115.22","116.08","112.38","28.05M","-0.77%"
"30/06/2020","114.42","115.12","115.95","112.56","37.23M","-0.07%"
"29/06/2020","114.50","111.00","115.36","110.10","48.91M","3.17%"
"26/06/2020","110.98","114.24","115.40","110.98","34.41M","-1.46%"
"25/06/2020","112.62","111.00","113.76","109.70","68.42M","0.68%"
