Date,ADS Index,,,,,,
2018-04-22,0.175155,,,,,,
2018-04-23,0.156233,,,,,,
2018-04-24,0.136352,,,,,,
2018-04-25,0.115503,,,,,,
2018-04-26,0.0936795,,,,,,
2018-04-27,0.0708719,,,,,,
2018-04-28,0.0470719,,,,,,
2018-04-29,0.0222701,,,,,,
2018-04-30,-0.00355982,,,,,,
2018-05-01,-0.030428,,,,,,
2018-05-02,-0.0558994,,,,,,
2018-05-03,-0.0799839,,,,,,
2018-05-04,-0.102691,,,,,,
2018-05-05,-0.124029,,,,,,
2018-05-06,-0.144006,,,,,,
2018-05-07,-0.162241,,,,,,
2018-05-08,-0.178741,,,,,,
2018-05-09,-0.193511,,,,,,
2018-05-10,-0.206558,,,,,,
2018-05-11,-0.217887,,,,,,
2018-05-12,-0.227502,,,,,,
2018-05-13,-0.235406,,,,,,
2018-05-14,-0.241732,,,,,,
2018-05-15,-0.24648,,,,,,
2018-05-16,-0.249654,,,,,,
2018-05-17,-0.251254,,,,,,
2018-05-18,-0.251281,,,,,,
2018-05-19,-0.249735,,,,,,
2018-05-20,-0.246616,,,,,,
2018-05-21,-0.242627,,,,,,
2018-05-22,-0.237766,,,,,,
2018-05-23,-0.232033,,,,,,
2018-05-24,-0.225424,,,,,,
2018-05-25,-0.217938,,,,,,
2018-05-26,-0.20957,,,,,,
2018-05-27,-0.200319,,,,,,
2018-05-28,-0.189779,,,,,,
2018-05-29,-0.177946,,,,,,
2018-05-30,-0.164815,,,,,,
2018-05-31,-0.150381,,,,,,
2018-06-01,-0.13464,,,,,,
2018-06-02,-0.119672,,,,,,
2018-06-03,-0.105472,,,,,,
2018-06-04,-0.0921118,,,,,,
2018-06-05,-0.0795868,,,,,,
2018-06-06,-0.067892,,,,,,
2018-06-07,-0.0570228,,,,,,
2018-06-08,-0.046975,,,,,,
2018-06-09,-0.0377447,,,,,,
2018-06-10,-0.0293285,,,,,,
2018-06-11,-0.0218518,,,,,,
2018-06-12,-0.0153117,,,,,,
2018-06-13,-0.00970577,,,,,,
2018-06-14,-0.00503181,,,,,,
2018-06-15,-0.00128803,,,,,,
2018-06-16,0.00152703,,,,,,
2018-06-17,0.00341444,,,,,,
2018-06-18,0.00473034,,,,,,
2018-06-19,0.00547521,,,,,,
2018-06-20,0.00564935,,,,,,
2018-06-21,0.00525283,,,,,,
2018-06-22,0.0042855,,,,,,
2018-06-23,0.00274698,,,,,,
2018-06-24,0.000636674,,,,,,
2018-06-25,-0.00195365,,,,,,
2018-06-26,-0.005025,,,,,,
2018-06-27,-0.00857856,,,,,,
2018-06-28,-0.0126157,,,,,,
2018-06-29,-0.017138,,,,,,
2018-06-30,-0.0221471,,,,,,
2018-07-01,-0.027645,,,,,,
2018-07-02,-0.0326035,,,,,,
2018-07-03,-0.0370244,,,,,,
2018-07-04,-0.0409095,,,,,,
2018-07-05,-0.0442603,,,,,,
2018-07-06,-0.047078,,,,,,
2018-07-07,-0.0493637,,,,,,
2018-07-08,-0.0511184,,,,,,
2018-07-09,-0.0523132,,,,,,
2018-07-10,-0.0529486,,,,,,
2018-07-11,-0.0530249,,,,,,
2018-07-12,-0.0525421,,,,,,
2018-07-13,-0.0515001,,,,,,
2018-07-14,-0.0498983,,,,,,
2018-07-15,-0.0477362,,,,,,
2018-07-16,-0.044307,,,,,,
2018-07-17,-0.0396094,,,,,,
2018-07-18,-0.0336415,,,,,,
2018-07-19,-0.0264011,,,,,,
2018-07-20,-0.0178853,,,,,,
2018-07-21,-0.00809091,,,,,,
2018-07-22,0.00298588,,,,,,
2018-07-23,0.0150056,,,,,,
2018-07-24,0.027973,,,,,,
2018-07-25,0.0418929,,,,,,
2018-07-26,0.0567708,,,,,,
2018-07-27,0.0726124,,,,,,
2018-07-28,0.0894238,,,,,,
2018-07-29,0.107211,,,,,,
2018-07-30,0.126262,,,,,,
2018-07-31,0.146582,,,,,,
2018-08-01,0.168179,,,,,,
2018-08-02,0.188372,,,,,,
2018-08-03,0.207166,,,,,,
2018-08-04,0.224571,,,,,,
2018-08-05,0.240592,,,,,,
2018-08-06,0.254937,,,,,,
2018-08-07,0.267614,,,,,,
2018-08-08,0.278626,,,,,,
2018-08-09,0.287978,,,,,,
2018-08-10,0.295673,,,,,,
2018-08-11,0.301714,,,,,,
2018-08-12,0.306105,,,,,,
2018-08-13,0.309068,,,,,,
2018-08-14,0.310607,,,,,,
2018-08-15,0.31072,,,,,,
2018-08-16,0.309408,,,,,,
2018-08-17,0.306671,,,,,,
2018-08-18,0.302508,,,,,,
2018-08-19,0.296916,,,,,,
2018-08-20,0.290026,,,,,,
2018-08-21,0.281833,,,,,,
2018-08-22,0.272336,,,,,,
2018-08-23,0.26153,,,,,,
2018-08-24,0.249412,,,,,,
2018-08-25,0.235976,,,,,,
2018-08-26,0.221217,,,,,,
2018-08-27,0.204495,,,,,,
2018-08-28,0.185804,,,,,,
2018-08-29,0.165136,,,,,,
2018-08-30,0.142484,,,,,,
2018-08-31,0.117838,,,,,,
2018-09-01,0.0911898,,,,,,
2018-09-02,0.0647962,,,,,,
2018-09-03,0.0391982,,,,,,
2018-09-04,0.0143861,,,,,,
2018-09-05,-0.0096499,,,,,,
2018-09-06,-0.0329189,,,,,,
2018-09-07,-0.0554299,,,,,,
2018-09-08,-0.0771916,,,,,,
2018-09-09,-0.0982124,,,,,,
2018-09-10,-0.118559,,,,,,
2018-09-11,-0.138238,,,,,,
2018-09-12,-0.157259,,,,,,
2018-09-13,-0.175628,,,,,,
2018-09-14,-0.193353,,,,,,
2018-09-15,-0.210439,,,,,,
2018-09-16,-0.226895,,,,,,
2018-09-17,-0.242871,,,,,,
2018-09-18,-0.258374,,,,,,
2018-09-19,-0.273409,,,,,,
2018-09-20,-0.287983,,,,,,
2018-09-21,-0.302102,,,,,,
2018-09-22,-0.31577,,,,,,
2018-09-23,-0.328992,,,,,,
2018-09-24,-0.341518,,,,,,
2018-09-25,-0.353352,,,,,,
2018-09-26,-0.364498,,,,,,
2018-09-27,-0.37496,,,,,,
2018-09-28,-0.384744,,,,,,
2018-09-29,-0.393851,,,,,,
2018-09-30,-0.402287,,,,,,
2018-10-01,-0.410234,,,,,,
2018-10-02,-0.417698,,,,,,
2018-10-03,-0.42468,,,,,,
2018-10-04,-0.431185,,,,,,
2018-10-05,-0.437213,,,,,,
2018-10-06,-0.442768,,,,,,
2018-10-07,-0.447852,,,,,,
2018-10-08,-0.452648,,,,,,
2018-10-09,-0.457159,,,,,,
2018-10-10,-0.461387,,,,,,
2018-10-11,-0.465333,,,,,,
2018-10-12,-0.468998,,,,,,
2018-10-13,-0.472385,,,,,,
2018-10-14,-0.475493,,,,,,
2018-10-15,-0.477794,,,,,,
2018-10-16,-0.479287,,,,,,
2018-10-17,-0.479974,,,,,,
2018-10-18,-0.479854,,,,,,
2018-10-19,-0.478927,,,,,,
2018-10-20,-0.477193,,,,,,
2018-10-21,-0.474652,,,,,,
2018-10-22,-0.471738,,,,,,
2018-10-23,-0.46845,,,,,,
2018-10-24,-0.464787,,,,,,
